	en
0	Chris Anderson: Shep, thank you so much for coming.
1	I think your plane landed literally two hours ago in Vancouver.
2	Such a treat to have you.
3	So, talk us through how do you get from Einstein's equation to a black hole?
4	Sheperd Doeleman: Over 100 years ago, Einstein came up with this geometric theory of gravity which deforms space-time.
5	So, matter deforms space-time, and then space-time tells matter in turn how to move around it.
6	And you can get enough matter into a small enough region that it punctures space-time, and that even light can't escape, the force of gravity keeps even light inside.
7	CA: And so, before that, the reason the Earth moves around the Sun is not because the Sun is pulling the Earth as we think, but it's literally changed the shape of space so that we just sort of fall around the Sun.
8	SD: Exactly, the geometry of space-time tells the Earth how to move around the Sun.
9	You're almost seeing a black hole puncture through space-time, and when it goes so deeply in, then there's a point at which light orbits the black hole.
10	CA: And so that's, I guess, is what's happening here.
11	This is not an image, this is a computer simulation of what we always thought, like, the event horizon around the black hole.
12	SD: Until last week, we had no idea what a black hole really looked like.
13	The best we could do were simulations like this in supercomputers, but even here you see this ring of light, which is the orbit of photons.
14	That's where photons literally move around the black hole, and around that is this hot gas that's drawn to the black hole, and it's hot because of friction.
15	All this gas is trying to get into a very small volume, so it heats up.
16	CA: A few years ago, you embarked on this mission to try and actually image one of these things.
17	And I guess you took — you focused on this galaxy way out there.
18	Tell us about this galaxy.
19	SD: This is the galaxy — we're going to zoom into the galaxy M87, it's 55 million light-years away.
20	CA: Fifty-five million.
21	SD: Which is a long way.
22	And at its heart, there's a six-and-a-half-billion- solar-mass black hole.
23	That's hard for us to really fathom, right?
24	Six and a half billion suns compressed into a single point.
25	And it's governing some of the energetics of the center of this galaxy.
26	CA: But even though that thing is so huge, because it's so far away, to actually dream of getting an image of it, that's incredibly hard.
27	The resolution would be incredible that you need.
28	SD: Black holes are the smallest objects in the known universe.
29	But they have these outsize effects on whole galaxies.
30	But to see one, you would need to build a telescope as large as the Earth, because the black hole that we're looking at gives off copious radio waves.
31	It's emitting all the time.
32	CA: And that's exactly what you did.
33	SD: Exactly.
34	What you're seeing here is we used telescopes all around the world, we synchronized them perfectly with atomic clocks, so they received the light waves from this black hole, and then we stitched all of that data together to make an image.
35	CA: To do that the weather had to be right in all of those locations at the same time, so you could actually get a clear view.
36	SD: We had to get lucky in a lot of different ways.
37	And sometimes, it's better to be lucky than good.
38	In this case, we were both, I like to think.
39	But light had to come from the black hole.
40	It had to come through intergalactic space, through the Earth's atmosphere, where water vapor can absorb it, and everything worked out perfectly, the size of the Earth at that wavelength of light, one millimeter wavelength, was just right to resolve that black hole, 55 million light-years away.
41	The universe was telling us what to do.
42	CA: So you started capturing huge amounts of data.
43	I think this is like half the data from just one telescope.
44	SD: Yeah, this is one of the members of our team, Lindy Blackburn, and he's sitting with half the data recorded at the Large Millimeter Telescope, which is atop a 15,000-foot mountain in Mexico.
45	And what he's holding there is about half a petabyte.
46	Which, to put it in terms that we might understand, it's about 5,000 people's lifetime selfie budget.
47	(Laughter)
48	CA: It's a lot of data.
49	So this was all shipped, you couldn't send this over the internet.
50	All this data was shipped to one place and the massive computer effort began to try and analyze it.
51	And you didn't really know what you were going to see coming out of this.
52	SD: The way this technique works that we used — imagine taking an optical mirror and smashing it and putting all the shards in different places.
53	The way a normal mirror works is the light rays bounce off the surface, which is perfect, and they focus in a certain point at the same time.
54	We take all these recordings, and with atomic clock precision we align them perfectly, later in a supercomputer.
55	And we recreate kind of an Earth-sized lens.
56	And the only way to do that is to bring the data back by plane.
57	You can't beat the bandwidth of a 747 filled with hard discs.
58	(Laughter)
59	CA: And so, I guess a few weeks or a few months ago, on a computer screen somewhere, this started to come into view.
60	This moment.
61	SD: Well, it took a long time.
62	CA: I mean, look at this.
63	That was it.
64	That was the first image.
65	(Applause)
66	So tell us what we're really looking at there.
67	SD: I still love it.
68	(Laughter)
69	So what you're seeing is that last orbit of photons.
70	You're seeing Einstein's geometry laid bare.
71	The puncture in space-time is so deep that light moves around in orbit, so that light behind the black hole, as I think we'll see soon, moves around and comes to us on these parallel lines at exactly that orbit.
72	It turns out, that orbit is the square root of 27 times just a handful of fundamental constants.
73	It's extraordinary when you think about it.
74	CA: When ...
75	In my head, initially, when I thought of black holes, I'm thinking that is the event horizon, there's lots of matter and light whirling around in that shape.
76	But it's actually more complicated than that.
77	Well, talk us through this animation, because it's light being lensed around it.
78	SD: You'll see here that some light from behind it gets lensed, and some light does a loop-the-loop around the entire orbit of the black hole.
79	But when you get enough light from all this hot gas swirling around the black hole, then you wind up seeing all of these light rays come together on this screen, which is a stand-in for where you and I are.
80	And you see the definition of this ring begin to come into shape.
81	And that's what Einstein predicted over 100 years ago.
82	CA: Yeah, that is amazing.
83	So tell us more about what we're actually looking at here.
84	First of all, why is part of it brighter than the rest?
85	SD: So what's happening is that the black hole is spinning.
86	And you wind up with some of the gas moving towards us below and receding from us on the top.
87	And just as the train whistle has a higher pitch when it's coming towards you, there's more energy from the gas coming towards us than going away from us.
88	You see the bottom part brighter because the light is actually being boosted in our direction.
89	CA: And how physically big is that?
90	SD: Our entire solar system would fit well within that dark region.
91	And if I may, that dark region is the signature of the event horizon.
92	The reason we don't see light from there, is that the light that would come to us from that place was swallowed by the event horizon.
93	So that — that's it.
94	CA: And so when we think of a black hole, you think of these huge rays jetting out of it, which are pointed directly in our direction.
95	Why don't we see them?
96	SD: This is a very powerful black hole.
97	Not by universal standards, it's still powerful, and from the north and south poles of this black hole we think that jets are coming.
98	Now, we're too close to really see all the jet structure, but it's the base of those jets that are illuminating the space-time.
99	And that's what's being bent around the black hole.
100	CA: And if you were in a spaceship whirling around that thing somehow, how long would it take to actually go around it?
101	SD: First, I would give anything to be in that spaceship.
102	(Laughter)
103	Sign me up.
104	There’s something called the — if I can get wonky for one moment — the innermost stable circular orbit, that's the innermost orbit at which matter can move around a black hole before it spirals in.
105	And for this black hole, it's going to be between three days and about a month.
106	CA: It's so powerful, it's weirdly slow at one level.
107	I mean, you wouldn't even notice falling into that event horizon if you were there.
108	"SD: So you may have heard of ""spaghettification,"" where you fall into a black hole and the gravitational field on your feet is much stronger than on your head, so you're ripped apart."
109	This black hole is so big that you're not going to become a spaghetti noodle.
110	You're just going to drift right through that event horizon.
111	CA: So, it's like a giant tornado.
112	When Dorothy was whipped by a tornado, she ended up in Oz.
113	Where do you end up if you fall into a black hole?
114	(Laughter)
115	SD: Vancouver.
116	(Laughter)
117	CA: Oh, my God.
118	(Applause)
119	It's the red circle, that's terrifying.
120	No, really.
121	SD: Black holes really are the central mystery of our age, because that's where the quantum world and the gravitational world come together.
122	What's inside is a singularity.
123	And that's where all the forces become unified, because gravity finally is strong enough to compete with all the other forces.
124	But it's hidden from us, the universe has cloaked it in the ultimate invisibility cloak.
125	So we don't know what happens in there.
126	CA: So there's a smaller one of these in our own galaxy.
127	Can we go back to our own beautiful galaxy?
128	This is the Milky Way, this is home.
129	And somewhere in the middle of that there's another one, which you're trying to find as well.
130	SD: We already know it's there, and we've already taken data on it.
131	And we're working on those data right now.
132	So we hope to have something in the near future, I can't say when.
133	CA: It's way closer but also a lot smaller, maybe the similar kind of size to what we saw?
134	SD: Right.
135	So it turns out that the black hole in M87, that we saw before, is six and a half billion solar masses.
136	But it's so far away that it appears a certain size.
137	The black hole in the center of our galaxy is a thousand times less massive, but also a thousand times closer.
138	So it looks the same angular size on the sky.
139	CA: Finally, I guess, a nod to a remarkable group of people.
140	Who are these guys?
